"year","n_total","proporcion_pct_2","n_individuos_2","proporcion_pct_3","n_individuos_3","proporcion_pct_4","n_individuos_4","proporcion_pct_5","n_individuos_5"
2015,150,34.7,52,50,75,15.3,23,0,0
2016,100,7,7,29,29,58,58,6,6
2017,100,5,5,49,49,44,44,2,2
2018,111,25.2,28,53.2,59,18.9,21,2.7,3
2019,111,9.9,11,45,50,44.1,49,0.9,1
2020,330,1.8,6,16.4,54,61.8,204,20,66
2021,100,9,9,21,21,62,62,8,8
2022,110,10,11,24.5,27,50,55,15.5,17
2023,100,5,5,8,8,74,74,13,13
2024,503,6.4,32,29.4,148,60,302,4.2,21
