"year_consumo","poblacion_total","consumo_total_t","consumo_anchoveta_t","consumo_sardina_t","consumo_otros_t","n_edades","consumo_se_total_t","consumo_lower_total_t","consumo_upper_total_t","consumo_cv_total","consumo_ci95_lower_t","consumo_ci95_upper_t","n_casos_con_se"
2014,522110.960986881,12730.8793973252,2634.41882390255,3886.07903502948,6211.13063228691,3,350.613538921989,11619.689723694,13842.0690709564,0.0275404021968548,12043.6768610381,13418.0819336123,3
2015,501598.765817951,22114.0416072651,5490.647447082,8416.96315453302,8207.14268974552,4,444.455525253104,20500.939539982,23727.1436745482,0.0200983399211426,21242.908777769,22985.1744367611,4
2016,374800.556249191,9962.0744789423,2052.18082681254,2934.12264236792,4976.13765229235,4,210.45660173771,9268.0073607208,10656.1415971638,0.0211257807982234,9549.57953953639,10374.5694183482,4
2017,452365.632319249,11037.1218565506,2235.04945139976,3349.09800915158,5453.49932155007,4,247.369869990165,10228.6420949938,11845.6016181074,0.0224125341013019,10552.2769113699,11521.9668017313,4
2018,381958.913323501,14783.4117776646,3412.40245479321,4989.07519100481,6382.60802771461,4,347.801526757114,13676.6819362455,15890.1416190837,0.0235264722371182,14101.7207852207,15465.1027701086,4
2019,316273.986503719,8334.81206015833,1843.52584050474,3050.27886228065,3441.32509466447,4,313.10495265543,7397.42137407323,9272.20274624343,0.0375659283491369,7721.12635295369,8948.49776736298,4
2020,266293.514808871,9154.85830067747,2250.56005992,3460.26134589925,3444.35009796417,4,93.7291845587501,8826.86402486261,9482.85257649233,0.0102381906393695,8971.14909894232,9338.56750241262,4
2021,142745.615428231,5100.85671546992,1241.14215356393,2206.46456382481,1653.35545994943,4,149.174122482022,4587.0902131563,5614.62321778354,0.0292449152766056,4808.47543540515,5393.23799553468,4
2022,27862.8812730447,1296.99180206815,351.482308353134,580.196608280408,365.319875740243,4,10.7647038783837,1265.60465288143,1328.37895125487,0.0082997470463719,1275.89298246652,1318.09062166978,4
