"year","Bueno","Imperial","Tolten","Valdivia"
"2015",15523.6619472021,17685.9873743278,17410,3356.09937337352
"2016",80805.0741127653,92060.5927519289,90624,17469.451442424
"2017",19678.7604350805,22419.8587795184,22070,4254.4005267291
"2018",43188.949668962,49204.8346036942,48437,9337.12724572621
"2019",33009.8500256961,37607.8655132102,37021,7136.48218849289
"2020",19067.9787904031,21724,21385,4122.35411255559
"2021",25608.6276826443,29175.7104354323,28720.42753,5536.39338520693
"2022",25999.5766551051,29621.1155604901,29158.88217,5620.91362314816
"2023",6560.88808362217,7474.76878883161,7358.126061,1418.41483414851
