"year","Rio","N_estimado","metodo"
2015,"Bueno",15523.6619472021,"Nb_factor_promedio"
2016,"Bueno",80805.0741127653,"Nb_factor_promedio"
2017,"Bueno",19678.7604350805,"Nb_factor_promedio"
2018,"Bueno",43188.949668962,"Nb_factor_promedio"
2019,"Bueno",33009.8500256961,"Nb_factor_promedio"
2020,"Bueno",19067.9787904031,"Nb_factor_promedio"
2021,"Bueno",25608.6276826443,"Nb_factor_promedio"
2022,"Bueno",25999.5766551051,"Nb_factor_promedio"
2023,"Bueno",6560.88808362217,"Nb_factor_promedio"
2015,"Imperial",17685.9873743278,"N_base_tendencia"
2016,"Imperial",92060.5927519289,"N_base_tendencia"
2017,"Imperial",22419.8587795184,"N_base_tendencia"
2018,"Imperial",49204.8346036942,"N_base_tendencia"
2019,"Imperial",37607.8655132102,"N_base_tendencia"
2020,"Imperial",21724,"N_base_tendencia"
2021,"Imperial",29175.7104354323,"N_base_tendencia"
2022,"Imperial",29621.1155604901,"N_base_tendencia"
2023,"Imperial",7474.76878883161,"N_base_tendencia"
2015,"Tolten",17410,"Datos_Reales"
2016,"Tolten",90624,"Datos_Reales"
2017,"Tolten",22070,"Datos_Reales"
2018,"Tolten",48437,"Datos_Reales"
2019,"Tolten",37021,"Datos_Reales"
2020,"Tolten",21385,"Datos_Reales"
2021,"Tolten",28720.42753,"Datos_Reales"
2022,"Tolten",29158.88217,"Datos_Reales"
2023,"Tolten",7358.126061,"Datos_Reales"
2015,"Valdivia",3356.09937337352,"Nb_factor_promedio"
2016,"Valdivia",17469.451442424,"Nb_factor_promedio"
2017,"Valdivia",4254.4005267291,"Nb_factor_promedio"
2018,"Valdivia",9337.12724572621,"Nb_factor_promedio"
2019,"Valdivia",7136.48218849289,"Nb_factor_promedio"
2020,"Valdivia",4122.35411255559,"Nb_factor_promedio"
2021,"Valdivia",5536.39338520693,"Nb_factor_promedio"
2022,"Valdivia",5620.91362314816,"Nb_factor_promedio"
2023,"Valdivia",1418.41483414851,"Nb_factor_promedio"
